name,size,mean
Partition/Vector-fused,100000,3.0185594051919515e-4
Partition/Vector-fused,1000000,4.650425330041473e-3
Partition/Vector-fused,10000000,5.1952022295835475e-2
Partition/Vector-fused,100000000,0.4879383863218351
Partition/Vector-fused,1000000000,8.421006078546192
Partition/Vector-unfused,100,5.712969649163513e-7
Partition/Vector-unfused,1000,5.08178602509148e-6
Partition/Vector-unfused,10000,4.7315255613846045e-5
Partition/Vector-unfused,100000,4.746743339294013e-4
Partition/Vector-unfused,1000000,6.519353339692388e-3
Partition/Vector-unfused,10000000,5.361959564591299e-2
Partition/Vector-unfused,100000000,0.571387252321836
Partition/Vector-unfused,1000000000,5.220339869324989
PartitionMap2/Folderol,100,1.5823154001051628e-6
PartitionMap2/Folderol,1000,1.3325902027277393e-5
PartitionMap2/Folderol,10000,1.3501380022961469e-4
PartitionMap2/Folderol,100000,1.677498810647102e-3
PartitionMap2/Folderol,1000000,1.6420860017154405e-2
PartitionMap2/Folderol,10000000,0.14675478479475149
PartitionMap2/Folderol,100000000,1.562806511794183
PartitionMap2/Folderol,1000000000,15.848895494351103
PartitionMap2/Vector-fused,100,1.8576470721631107e-6
PartitionMap2/Vector-fused,1000,1.3787441632776798e-5
PartitionMap2/Vector-fused,10000,1.3775821783229054e-4
PartitionMap2/Vector-fused,100000,1.421681410787244e-3
PartitionMap2/Vector-fused,1000000,1.7001977105887703e-2
PartitionMap2/Vector-fused,10000000,0.16884520049672969
PartitionMap2/Vector-fused,100000000,1.7776018322384657
PartitionMap2/Vector-fused,1000000000,91.3374197554922
PartitionMap2/Vector-unfused,100,1.5036753201309534e-6
PartitionMap2/Vector-unfused,1000,1.2888526293208605e-5
PartitionMap2/Vector-unfused,10000,1.629121200728202e-4
PartitionMap2/Vector-unfused,100000,1.504518796735975e-3
PartitionMap2/Vector-unfused,1000000,1.5997678318167428e-2
PartitionMap2/Vector-unfused,10000000,0.16600403614242693
PartitionMap2/Vector-unfused,100000000,1.4764873032107657
PartitionMap2/Vector-unfused,1000000000,13.735100158574037
