Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Quickhull/Conduit/TwoPass/100,1.2678580511578312e-4,1.2248785985918918e-4,1.3478141591954408e-4,1.688750820686075e-5,1.2159438652075722e-5,2.4705188754003707e-5
Quickhull/Conduit/TwoPass/1000,1.0027259817294153e-3,9.632283149984445e-4,1.063496757794439e-3,1.6683038877942925e-4,1.2167803854253858e-4,2.2123008598477761e-4
Quickhull/Conduit/TwoPass/10000,1.0256142306518667e-2,9.844506171944394e-3,1.0753267867721928e-2,1.3487881834972138e-3,1.0751840154062766e-3,1.6583591889799236e-3
Quickhull/Conduit/TwoPass/100000,0.1138256526786261,0.10925545744505939,0.1168802591627142,5.327459022916249e-3,2.853614482429698e-3,8.746797903422423e-3
Quickhull/Conduit/TwoPass/1000000,1.0343832734078335,0.8405390896290575,1.1619828294503487,0.19144617246224202,0.0,0.22100891408886852
Quickhull/Conduit/TwoPass/10000000,9.225780764074466,8.96094267912795,9.425430978784023,0.3054254133352476,0.0,0.34580431561898983
Quickhull/Conduit/TwoPass/100000000,88.83957535587972,81.1597644582569,95.35123164075333,10.415320174503826,0.0,11.27851952682629
Quickhull/Conduit/OnePass/100,9.159523165314595e-5,8.873640912013825e-5,9.434867995742664e-5,9.644980862633089e-6,8.143173511272019e-6,1.2513809681499055e-5
Quickhull/Conduit/OnePass/1000,7.102264877546823e-4,6.872519426049501e-4,7.32680068122366e-4,7.423826009920871e-5,6.155900760581071e-5,9.530232927734654e-5
Quickhull/Conduit/OnePass/10000,6.756709397776582e-3,6.5653758915821476e-3,6.9727085447091434e-3,6.011712100121487e-4,4.983138618771726e-4,7.33327095041947e-4
Quickhull/Conduit/OnePass/100000,5.5120819632848976e-2,5.274366430990014e-2,5.7616974306807366e-2,4.521214197052405e-3,3.5361611555462286e-3,6.096177814158986e-3
Quickhull/Conduit/OnePass/1000000,1.0253828720188043,0.9798245591717838,1.052016883046845,4.1114584253022335e-2,0.0,4.613146030991624e-2
Quickhull/Conduit/OnePass/10000000,8.59879005129705,8.152927893503028,9.037897789839192,0.7547754178512359,0.0,0.7605569131516642
Quickhull/Conduit/OnePass/100000000,79.73320901685203,76.43450382262964,82.80735088822725,5.1411391980097765,0.0,5.324569910896755
Quickhull/Pipes/100,4.613740216256649e-5,4.50185927936876e-5,4.810536506735817e-5,4.918469479427734e-6,2.9108191233241927e-6,8.051661909318642e-6
Quickhull/Pipes/1000,4.469796850308592e-4,4.4261359099110963e-4,4.528576226546994e-4,1.615795369931505e-5,1.2646018878597318e-5,2.059149802192717e-5
Quickhull/Pipes/10000,4.2825693919430075e-3,4.231449805838434e-3,4.3862008043334365e-3,2.0681188465514555e-4,1.3812011266706395e-4,3.4301224005758694e-4
Quickhull/Pipes/100000,3.835075493314876e-2,3.672352197890245e-2,4.033680450513514e-2,3.6732398854288717e-3,2.8120925316904837e-3,5.1348703220903775e-3
Quickhull/Pipes/1000000,0.38834335912999945,0.37025198475821935,0.42043818612765077,2.786998772976133e-2,0.0,2.8975016870246024e-2
