Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
10,0.1541783775641781,0.1477681272846868,0.15711781105947037,5.7435449055376914e-3,1.540759166188759e-3,8.871879347446947e-3
100,0.15258451804919523,0.14882088227997317,0.15561589763033662,4.873528872957498e-3,3.7175944607862016e-3,6.145205048818289e-3
1000,0.1557317380070862,0.14774317548944013,0.16444803498789792,1.1534224433731788e-2,6.457128857377029e-3,1.6865535715196847e-2
10000,0.15944110850021745,0.1550144786804684,0.16413379732988562,6.164334118660277e-3,3.683995012563781e-3,8.210824201301122e-3
100000,0.1536278909267213,0.14595016759137433,0.16162624530662817,1.0856589595500917e-2,8.639569192941893e-3,1.302798591537725e-2
1000000,0.1589309478487197,0.15245856532922442,0.16528293504941302,8.823987669698235e-3,6.558479232381844e-3,1.103630295699131e-2
