Name,Elements,Processes,Chunksize,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ManyChan,10000000,8,1000000,0.16271831430414804,0.15175387468363738,0.1715143743524368,1.3155022129132478e-2,9.014216444047757e-3,1.7890537510887042e-2
ManyChan,10000000,9,1,0.18140006731642933,0.17613017194644237,0.1872184518213974,6.559956710342578e-3,3.708336338361466e-3,1.0122168352405732e-2
ManyChan,10000000,9,10,0.17161184168062074,0.16680668576403349,0.1778380845931689,6.773601422061954e-3,3.7248402630589202e-3,9.857619882540141e-3
ManyChan,10000000,9,100,0.1801376876088548,0.175006563950512,0.19509079248687686,1.1013484206310754e-2,5.895437884373515e-4,1.4033946130744004e-2
ManyChan,10000000,9,1000,0.17205718937786196,0.16006738753923658,0.18205171318803398,1.5353518275213264e-2,7.974841725085804e-3,1.7242781385457887e-2
ManyChan,10000000,9,10000,0.18246932283209072,0.17471149599711694,0.18972483805544033,1.0103258895303394e-2,5.529866631001752e-3,1.3808288006229847e-2
ManyChan,10000000,9,100000,0.18518528667133358,0.17861644213281128,0.1942490818096557,9.103990274102847e-3,7.070384285319254e-3,1.0983457988280232e-2
ManyChan,10000000,9,1000000,0.18435417427749584,0.18260089373267063,0.18564868454120223,1.870118070496205e-3,8.09626975615521e-4,2.7822396273160977e-3
ManyChan,10000000,10,1,0.20306036038489447,0.19837654261122215,0.21403657886674257,9.02425342799307e-3,1.6921666003777026e-3,1.2465937889570069e-2
ManyChan,10000000,10,10,0.20068074208927084,0.19661933130449877,0.20965556120519357,7.262616121852284e-3,2.4890286696629344e-3,9.740519754401837e-3
ManyChan,10000000,10,100,0.19691361639522847,0.1910665069223613,0.20133310277174807,6.697101337200973e-3,4.432689461421728e-3,9.533616509129105e-3
ManyChan,10000000,10,1000,0.20597927699360588,0.2013766366844572,0.2105819173027545,5.76002649684932e-3,2.9560687089171572e-3,6.450470146247593e-3
ManyChan,10000000,10,10000,0.20237320464405442,0.18897133225498958,0.21391786237216387,1.7078956372511847e-2,9.51160075935046e-3,2.4591213931627436e-2
ManyChan,10000000,10,100000,0.19684401327366066,0.19088184346391907,0.2010747822341747,6.503247441434937e-3,3.2155514985343307e-3,9.637873457256745e-3
ManyChan,10000000,10,1000000,0.1951768122043994,0.187985717261604,0.20062493062111725,8.006720499563446e-3,4.27788112878087e-3,1.0528092397925674e-2
