Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
10,1.118043211670472,1.0900628117872284,1.1444162326034777,4.435296365026356e-2,0.0,4.567941220504352e-2
100,1.2480519658421618,1.222639592006325,1.261511862833345,2.2123613354289657e-2,0.0,2.3313225453372922e-2
1000,1.414691963834671,1.3856383120203273,1.4625092660114012,4.1729388002532015e-2,0.0,4.438146597960985e-2
10000,1.423429311182126,1.3894662733537297,1.4430640518789293,3.0470842232354294e-2,0.0,3.400836848030392e-2
100000,1.455898558766357,1.4394338340380382,1.4668213910072263,1.6384841277895676e-2,0.0,1.8918900403737008e-2
1000000,1.6966496983790187,1.6863093006616923,1.7060830748211435,1.5612975907479693e-2,2.723515857283587e-16,1.633908728468366e-2
